Teams;Pt;V;P;S;GF;GS
MANCHESTER_CITY;44;14;2;3;38;11
LIVERPOOL;44;13;5;1;34;12
TOTTENHAM;33;11;0;8;33;23
MANCHESTER_UNITED;30;9;3;7;32;29
CHELSEA;30;9;3;7;24;27
CRYSTAL_PALACE;29;9;2;8;32;30
LEICESTER_CITY;25;7;4;8;27;28
ARSENAL;25;7;4;8;31;35
WATFORD;23;6;5;8;26;31
WOLVERHAMPTON;23;6;5;8;19;25
WEST_HAM;21;6;3;10;20;28
EVERTON;20;5;5;9;24;25
NEWCASTLE;20;4;8;7;18;23
BURNLEY;17;4;5;10;21;36
SOUTHAMPTON;16;4;4;11;18;35
BOURNEMOUTH;16;5;1;13;26;45
CARDIFF;14;4;2;13;13;31
BRIGHTON;13;3;4;12;16;32
HUDDERSFIELD_TOWN;7;1;4;14;12;45
FULHAM;5;1;2;16;12;45
