Teams;Pt;V;P;S;GF;GS
MANCHESTER_CITY;54;18;0;1;57;12
LIVERPOOL;53;17;2;0;55;10
ARSENAL;45;14;3;2;42;16
CHELSEA;42;12;6;1;39;12
TOTTENHAM;38;12;2;5;34;16
MANCHESTER_UNITED;36;10;6;3;33;25
EVERTON;34;10;4;5;30;21
WOLVERHAMPTON;34;10;4;5;28;21
WEST_HAM;31;9;4;6;32;27
BOURNEMOUTH;29;8;5;6;30;25
LEICESTER_CITY;27;8;3;8;24;20
WATFORD;27;8;3;8;26;28
NEWCASTLE;25;8;1;10;24;25
SOUTHAMPTON;23;5;8;6;27;30
BURNLEY;23;7;2;10;24;32
BRIGHTON;23;6;5;8;19;28
FULHAM;21;6;3;10;22;36
CRYSTAL_PALACE;20;5;5;9;19;23
CARDIFF;20;6;2;11;21;38
HUDDERSFIELD_TOWN;9;2;3;14;10;31
